timestamp,station_id,location_type,vehicle_type,battery_capacity_kWh,initial_soc,energy_consumed_kWh,electricity_price,renewable_energy_ratio,queue_length,traffic_density,station_load,charging_priority
2025-01-01 00:00:00,ST04,Suburban,Commercial,48.12132609839704,35.18891991508576,34.94547151805277,0.34463061819176044,0.23409757660432107,6,0.4226078792741066,58.9171459299381,2
2025-01-01 01:00:00,ST05,Suburban,Passenger,51.85835323546781,34.8990703966705,31.00619736029124,0.41163757735270823,0.7702059562802716,2,0.45121014325756703,33.790687960953974,1
2025-01-01 02:00:00,ST03,Highway,Passenger,50.83109370354542,25.373945196893303,23.052118451542356,0.387613335515955,0.8685920876690001,1,0.9540204523357757,30.598982882134045,1
2025-01-01 03:00:00,ST05,Urban,Bus,55.748235107275875,42.59931010446684,42.049821447317825,0.2987080452508655,0.13270967799253564,3,0.47568395378296036,48.24329289211717,0
2025-01-01 04:00:00,ST05,Highway,Bus,71.515505126895,48.27257412949774,47.17817169547382,0.11648721838067982,0.16242549652308425,4,0.7499002626622022,49.59282642495335,0
2025-01-01 05:00:00,ST02,Urban,Bus,46.67252484029312,39.87868101526036,21.722245988446225,0.3337072808258004,0.8077796026516518,2,0.30290204520905284,20.896326203198207,0
2025-01-01 06:00:00,ST03,Urban,Commercial,92.09015771959025,32.98715301905192,38.07558642185088,0.1194266612237184,0.7524418032257026,1,0.7793066511884315,25.102207508184296,0
2025-01-01 07:00:00,ST03,Urban,Commercial,57.84169187850834,32.30568031196016,26.401485071380048,0.3414906870140524,0.5943475644090349,3,0.3226623664973406,30.373127339860527,0
2025-01-01 08:00:00,ST03,Highway,Bus,49.75227924812247,43.2261455712648,32.016546147481904,0.42016434499747135,0.8559721671889103,2,0.4300235873450098,23.765467183075863,0
2025-01-01 09:00:00,ST05,Urban,Commercial,80.53727857589459,29.354169459708427,37.9909237690569,0.3339966994807675,0.6171444623936025,7,0.47948227781169783,60.617712616037714,2
2025-01-01 10:00:00,ST04,Highway,Bus,42.285178035959156,41.17369488119702,20.73264394039812,0.49880872182467884,0.27278822058360264,3,0.9263629694180113,31.562508282038472,1
2025-01-01 11:00:00,ST03,Suburban,Commercial,77.19811389244985,27.89983648284106,31.655541321844304,0.28234660007217327,0.6829138589735202,3,0.05345354780486755,36.173977443362986,1
